OBJECTID,Label,pt_sequence,pt_type,pt_type_fr,source,source_fr,NAFO_SubArea,NAFO_Division,NAFO_SubDivision,NAFO_SubSubDivision,lat_dd,long_dd,lat_ddm,long_ddm,line_id
131,0-A,21,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,73.608472,-68.090306,73° 36.508' N,68° 5.418' W,0-A-1
132,0-A,21.01,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.602606,-68.034594,73° 36.156' N,68° 2.076' W,0-A-1
133,0-A,21.02,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.596725,-67.97892,73° 35.804' N,67° 58.735' W,0-A-1
134,0-A,21.03,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.590829,-67.923286,73° 35.450' N,67° 55.397' W,0-A-1
135,0-A,21.04,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.584919,-67.86769,73° 35.095' N,67° 52.061' W,0-A-1
136,0-A,21.05,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.578994,-67.812134,73° 34.740' N,67° 48.728' W,0-A-1
137,0-A,21.06,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.573055,-67.756616,73° 34.383' N,67° 45.397' W,0-A-1
138,0-A,21.07,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.567101,-67.701138,73° 34.026' N,67° 42.068' W,0-A-1
139,0-A,21.08,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.561132,-67.645698,73° 33.668' N,67° 38.742' W,0-A-1
140,0-A,21.09,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.555149,-67.590298,73° 33.309' N,67° 35.418' W,0-A-1
141,0-A,21.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.549151,-67.534937,73° 32.949' N,67° 32.096' W,0-A-1
142,0-A,21.11,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.543139,-67.479616,73° 32.588' N,67° 28.777' W,0-A-1
143,0-A,21.12,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.537112,-67.424333,73° 32.227' N,67° 25.460' W,0-A-1
144,0-A,21.13,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.53107,-67.36909,73° 31.864' N,67° 22.145' W,0-A-1
145,0-A,21.14,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.525015,-67.313886,73° 31.501' N,67° 18.833' W,0-A-1
146,0-A,22,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,73.518944,-67.258722,73° 31.137' N,67° 15.523' W,0-A-1
147,0-A,22.01,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.513231,-67.202308,73° 30.794' N,67° 12.138' W,0-A-1
148,0-A,22.02,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.507503,-67.145932,73° 30.450' N,67° 8.756' W,0-A-1
149,0-A,22.03,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.50176,-67.089593,73° 30.106' N,67° 5.376' W,0-A-1
150,0-A,22.04,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.496001,-67.033293,73° 29.760' N,67° 1.998' W,0-A-1
151,0-A,22.05,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.490228,-66.977032,73° 29.414' N,66° 58.622' W,0-A-1
152,0-A,22.06,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.484439,-66.920808,73° 29.066' N,66° 55.248' W,0-A-1
